a-c,c-a,a-b,b-a,a-d,d-a,b-c,c-b,b-d,d-b,c-d,d-c,COST
0,0,1,1,0,0,0,1,1,0,0,1,110
0,0,1,1,0,0,1,0,0,1,1,0,110
0,0,0,1,1,0,0,1,0,0,0,1,120
0,0,1,1,0,0,1,1,1,1,0,0,120
0,0,1,0,0,1,1,0,0,0,1,0,120
0,0,1,1,0,0,1,1,1,1,0,0,120
0,1,1,0,0,0,0,0,1,0,0,1,125
1,0,0,1,0,0,0,0,0,1,1,0,125
0,0,0,1,1,0,1,1,0,1,0,0,130
0,0,1,0,0,1,1,1,1,0,0,0,130
0,1,1,0,0,0,1,0,1,1,0,0,135
1,0,0,1,0,0,0,1,1,1,0,0,135
0,1,0,0,1,0,1,0,0,1,0,0,145
1,0,0,0,0,1,0,1,1,0,0,0,145
0,0,1,1,0,0,0,0,1,1,1,1,150
0,0,1,1,0,0,1,1,0,0,1,1,150
0,1,1,1,1,0,0,0,0,0,0,1,155
0,1,1,1,1,0,0,0,0,0,0,1,155
1,0,1,1,0,1,0,0,0,0,1,0,155
1,0,1,1,0,1,0,0,0,0,1,0,155
0,0,0,1,1,0,0,0,0,1,1,1,160
0,0,1,1,1,1,1,1,0,0,0,0,160
0,0,1,0,0,1,0,0,1,0,1,1,160
0,0,1,1,1,1,1,1,0,0,0,0,160
0,1,1,1,1,0,1,0,0,1,0,0,165
1,0,1,1,0,1,0,1,1,0,0,0,165
0,1,1,0,0,0,1,0,0,0,1,1,165
0,1,1,1,1,0,1,0,0,1,0,0,165
0,1,1,1,1,0,1,0,0,1,0,0,165
1,0,1,1,0,1,0,1,1,0,0,0,165
1,0,0,1,0,0,0,1,0,0,1,1,165
1,0,1,1,0,1,0,1,1,0,0,0,165
0,0,0,1,1,0,0,1,1,1,0,1,170
0,0,0,1,1,0,0,1,1,1,0,1,170
0,0,1,0,0,1,1,0,1,1,1,0,170
1,1,1,1,0,0,0,0,1,1,0,0,170
0,0,1,0,0,1,1,0,1,1,1,0,170
1,1,1,1,0,0,0,0,1,1,0,0,170
0,1,1,0,1,1,1,0,0,0,0,0,175
1,0,0,1,1,1,0,1,0,0,0,0,175
0,1,1,0,0,0,1,1,1,0,0,1,175
0,1,1,0,0,0,1,1,1,0,0,1,175
0,1,1,0,1,1,1,0,0,0,0,0,175
1,0,0,1,0,0,1,1,0,1,1,0,175
1,0,0,1,0,0,1,1,0,1,1,0,175
1,0,0,1,1,1,0,1,0,0,0,0,175
0,0,0,0,1,1,0,1,1,0,0,1,180
0,0,0,0,1,1,1,0,0,1,1,0,180
1,1,0,1,1,0,0,0,0,1,0,0,180
1,1,1,0,0,1,0,0,1,0,0,0,180
1,1,0,1,1,0,0,0,0,1,0,0,180
1,1,1,0,0,1,0,0,1,0,0,0,180
0,1,0,0,1,0,1,1,0,0,0,1,185
0,1,0,0,1,0,0,0,1,1,0,1,185
1,0,0,0,0,1,0,0,1,1,1,0,185
1,0,0,0,0,1,1,1,0,0,1,0,185
0,0,1,1,1,1,0,0,0,0,1,1,190
0,0,0,0,1,1,1,1,1,1,0,0,190
0,0,1,1,1,1,0,0,0,0,1,1,190
1,1,0,0,0,0,1,0,0,1,1,0,190
1,1,0,0,0,0,0,1,1,0,0,1,190
0,0,1,1,1,1,1,0,0,1,1,0,200
0,0,1,1,1,1,0,1,1,0,0,1,200
0,0,1,1,1,1,1,0,0,1,1,0,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,1,1,0,1,1,0,0,1,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,0,0,1,1,1,1,1,1,200
0,0,1,1,1,1,0,1,1,0,0,1,200
0,0,1,1,1,1,1,0,0,1,1,0,200
1,1,1,1,0,0,0,0,0,0,1,1,200
1,1,1,1,0,0,0,0,0,0,1,1,200
1,1,0,0,0,0,1,1,1,1,0,0,200